Filename,MFCC_Extraction_Time_s
../dataset/raw_audio\Actor_01\03-01-01-01-01-01-01.wav,0.1546
../dataset/raw_audio\Actor_01\03-01-01-01-01-02-01.wav,0.0129
../dataset/raw_audio\Actor_01\03-01-01-01-02-01-01.wav,0.0120
../dataset/raw_audio\Actor_01\03-01-01-01-02-02-01.wav,0.0112
../dataset/raw_audio\Actor_01\03-01-02-01-01-01-01.wav,0.0130
../dataset/raw_audio\Actor_01\03-01-02-01-01-02-01.wav,0.0120
../dataset/raw_audio\Actor_01\03-01-02-01-02-01-01.wav,0.0120
../dataset/raw_audio\Actor_01\03-01-02-01-02-02-01.wav,0.0121
../dataset/raw_audio\Actor_01\03-01-02-02-01-01-01.wav,0.0130
../dataset/raw_audio\Actor_01\03-01-02-02-01-02-01.wav,0.0140
../dataset/raw_audio\Actor_01\03-01-02-02-02-01-01.wav,0.0156
../dataset/raw_audio\Actor_01\03-01-02-02-02-02-01.wav,0.0151
../dataset/raw_audio\Actor_01\03-01-03-01-01-01-01.wav,0.0135
../dataset/raw_audio\Actor_01\03-01-03-01-01-02-01.wav,0.0146
../dataset/raw_audio\Actor_01\03-01-03-01-02-01-01.wav,0.0161
../dataset/raw_audio\Actor_01\03-01-03-01-02-02-01.wav,0.0140
../dataset/raw_audio\Actor_01\03-01-03-02-01-01-01.wav,0.0140
../dataset/raw_audio\Actor_01\03-01-03-02-01-02-01.wav,0.0140
../dataset/raw_audio\Actor_01\03-01-03-02-02-01-01.wav,0.0143
../dataset/raw_audio\Actor_01\03-01-03-02-02-02-01.wav,0.0150
../dataset/raw_audio\Actor_01\03-01-04-01-01-01-01.wav,0.0140
../dataset/raw_audio\Actor_01\03-01-04-01-01-02-01.wav,0.0140
../dataset/raw_audio\Actor_01\03-01-04-01-02-01-01.wav,0.0160
../dataset/raw_audio\Actor_01\03-01-04-01-02-02-01.wav,0.0157
../dataset/raw_audio\Actor_01\03-01-04-02-01-01-01.wav,0.0180
../dataset/raw_audio\Actor_01\03-01-04-02-01-02-01.wav,0.0254
../dataset/raw_audio\Actor_01\03-01-04-02-02-01-01.wav,0.0241
../dataset/raw_audio\Actor_01\03-01-04-02-02-02-01.wav,0.0173
../dataset/raw_audio\Actor_01\03-01-05-01-01-01-01.wav,0.0202
../dataset/raw_audio\Actor_01\03-01-05-01-01-02-01.wav,0.0234
../dataset/raw_audio\Actor_01\03-01-05-01-02-01-01.wav,0.0190
../dataset/raw_audio\Actor_01\03-01-05-01-02-02-01.wav,0.0180
../dataset/raw_audio\Actor_01\03-01-05-02-01-01-01.wav,0.0183
../dataset/raw_audio\Actor_01\03-01-05-02-01-02-01.wav,0.0270
../dataset/raw_audio\Actor_01\03-01-05-02-02-01-01.wav,0.0241
../dataset/raw_audio\Actor_01\03-01-05-02-02-02-01.wav,0.0206
../dataset/raw_audio\Actor_01\03-01-06-01-01-01-01.wav,0.0210
../dataset/raw_audio\Actor_01\03-01-06-01-01-02-01.wav,0.0160
../dataset/raw_audio\Actor_01\03-01-06-01-02-01-01.wav,0.0130
../dataset/raw_audio\Actor_01\03-01-06-01-02-02-01.wav,0.0150
../dataset/raw_audio\Actor_01\03-01-06-02-01-01-01.wav,0.0200
../dataset/raw_audio\Actor_01\03-01-06-02-01-02-01.wav,0.0173
../dataset/raw_audio\Actor_01\03-01-06-02-02-01-01.wav,0.0173
../dataset/raw_audio\Actor_01\03-01-06-02-02-02-01.wav,0.0302
../dataset/raw_audio\Actor_01\03-01-07-01-01-01-01.wav,0.0193
../dataset/raw_audio\Actor_01\03-01-07-01-01-02-01.wav,0.0230
../dataset/raw_audio\Actor_01\03-01-07-01-02-01-01.wav,0.0240
../dataset/raw_audio\Actor_01\03-01-07-01-02-02-01.wav,0.0324
../dataset/raw_audio\Actor_01\03-01-07-02-01-01-01.wav,0.0250
../dataset/raw_audio\Actor_01\03-01-07-02-01-02-01.wav,0.0246
../dataset/raw_audio\Actor_01\03-01-07-02-02-01-01.wav,0.0184
../dataset/raw_audio\Actor_01\03-01-07-02-02-02-01.wav,0.0191
../dataset/raw_audio\Actor_01\03-01-08-01-01-01-01.wav,0.0160
../dataset/raw_audio\Actor_01\03-01-08-01-01-02-01.wav,0.0181
../dataset/raw_audio\Actor_01\03-01-08-01-02-01-01.wav,0.0410
../dataset/raw_audio\Actor_01\03-01-08-01-02-02-01.wav,0.0376
../dataset/raw_audio\Actor_01\03-01-08-02-01-01-01.wav,0.0287
../dataset/raw_audio\Actor_01\03-01-08-02-01-02-01.wav,0.0275
../dataset/raw_audio\Actor_01\03-01-08-02-02-01-01.wav,0.0178
../dataset/raw_audio\Actor_01\03-01-08-02-02-02-01.wav,0.0140
../dataset/raw_audio\Actor_02\03-01-01-01-01-01-02.wav,0.0183
../dataset/raw_audio\Actor_02\03-01-01-01-01-02-02.wav,0.0160
../dataset/raw_audio\Actor_02\03-01-01-01-02-01-02.wav,0.0175
../dataset/raw_audio\Actor_02\03-01-01-01-02-02-02.wav,0.0160
../dataset/raw_audio\Actor_02\03-01-02-01-01-01-02.wav,0.0183
../dataset/raw_audio\Actor_02\03-01-02-01-01-02-02.wav,0.0225
../dataset/raw_audio\Actor_02\03-01-02-01-02-01-02.wav,0.0235
../dataset/raw_audio\Actor_02\03-01-02-01-02-02-02.wav,0.0220
../dataset/raw_audio\Actor_02\03-01-02-02-01-01-02.wav,0.0262
../dataset/raw_audio\Actor_02\03-01-02-02-01-02-02.wav,0.0252
